월,월별충전량,월별충전횟수,월별충전기수
21-Jan,707695.7647,46251,511
21-Feb,725394.7167,47571,522
21-Mar,838746.0263,53674,574
21-Apr,800440.5217,50870,602
21-May,825412.0477,52612,622
21-Jun,881260.5123,55300,623
21-Jul,1002497.998,62384,655
21-Aug,986198.224,61061,674
21-Sep,916334.3643,56479,672
21-Oct,1007987.725,61532,682
21-Nov,1092856.488,64751,697
21-Dec,1200512.004,71242,702
22-Jan,950028.949,58098,575
22-Feb,839202.0573,51336,604
22-Mar,856232.7233,51002,604
22-Apr,847046.4223,50592,603
22-May,905438.6297,53182,598
